" English
Endüstri Müh. Ders Planý 2009-2010/ Güz ile 2017-2018   / Güz Dönemleri Arasý1. YarýyýlDers KoduDers AdýKrediDersUyg.Lab.AKTSTürüZ/SYarýyýlEND 111Endüstri Mühendisliðine Giriþ11003MTZ1FIZ 101Fizik I33004.5TBZ1FIZ 101LFizik I Lab10021.5TBZ1BIL 101EInt to Comp and Inf Systems1.51012.5TMZ1MAT 261Lineer Cebir33005TBZ1MAT 103Matematik I43206TBZ1RES 107Teknik Resim21203TMZ1English Course I33.5ITBZ12. YarýyýlDers KoduDers AdýKrediDersUyg.Lab.AKTSTürüZ/SYarýyýlFIZ 106Fizik II33004.5TBZ2FIZ 106LFizik II Lab10021TBZ2KIM 101EGeneral Chemistry I33004.5TBZ2KIM 101ELGeneral Chemistry I Lab10021.5TBZ2END 112EIntr. to Manufacturing Systems33005TMZ2MAT 104Matematik II43206.5TBZ2END 122ESel. Topics Ind. Eng. & Ethics22004.5MTZ2English Course II33.5/4ITBZ23. YarýyýlDers KoduDers AdýKrediDersUyg.Lab.AKTSTürüZ/SYarýyýlEND 213EData Manag.in Industrial Syst.33006TMZ3MAT 201EDifferential Equations44005.5TBZ3EKO 201Ekonomi33004ITBZ3HUK 201Ýþ Hukuku33004ITBZ3END 211Sistem Düþüncesi ve  Analizi33005TMZ3TUR 101Türk Dili I22002ITBZ3BIL 104EIntr. to Programming in C32024.5TMZ34. YarýyýlDers KoduDers AdýKrediDersUyg.Lab.AKTSTürüZ/SYarýyýlING 201English III33003.5ITBZ4END 222Yönetim Muhasebesi33004ITBZ4MEK 205Mühendislik Mekaniði33004.5TMZ4END 242Takým Tezgahlarý33005TMZ4END 252ETheory of Probability33007TBZ4TUR 102Türk Dili II22002ITBZ4END 232Ýþbilim33005MTZ45. YarýyýlDers KoduDers AdýKrediDersUyg.Lab.AKTSTürüZ/SYarýyýlEND 331Yöneylem Araþtýrmasý I33007TMZ5END 311Ýstatistik33005TBZ5END 321Ýþ Etüdü3.53015MTZ5Seçmeli Dal Dersi-Güz (MT)34/6MTS5Seçmeli Dal Dersi-Güz (MT)34/6MTS5Seçime Baðlý Ders-Güz (ITB)34ITBS56. YarýyýlDers KoduDers AdýKrediDersUyg.Lab.AKTSTürüZ/SYarýyýlEND 312Mühendislik Ekonomisi33005MTZ6END 332EOperations Research II33007TMZ6END 322Sistem Simülasyonu33007TBZ6Seçmeli Dal Dersi-Bahar (MT)34MTS6Seçmeli Dal Dersi-Bahar (ITB)34ITBS6Seçime Baðlý Ders-Bahar (ITB)34ITBS67. YarýyýlDers KoduDers AdýKrediDersUyg.Lab.AKTSTürüZ/SYarýyýlATA 101Atatürk Ýlk & Ýnkýlap Trh I22002ITBZ7END 411Bütünleþik Üretim Sistemleri22007MTZ7END 441Endüstri Mühendisliði Projesi10024MTZ7END 431Yönetim ve Organizasyon33004ITBZ7END 421Üretim Planlama ve Kontrol33006MTZ7Elective Branch Crse-Fall(ITB)34ITBS7Seçime Baðlý Dal Dersi-Güz(MT)34/6MTS78. YarýyýlDers KoduDers AdýKrediDersUyg.Lab.AKTSTürüZ/SYarýyýlATA 102Atatürk Ýlk & Ýnkýlap Trh II22002ITBZ8END 492Bitirme Çalýþmasý30608MTZ8END 432EFacility Layout33004MTZ8END 422Kalite Kontrol33004MTZ8END 444EMaterials Management33004MTZ8END 412Ýnsn Kynklarý Yntmnin Temeller33004ITBZ8END 449END 449EEnd. Müh. Uyg. Seminer Dersi03002MTZ8Seçmeli Dal Dersi-Bahar (MT)34/4.5/5/5.5MTS8TOPLAM KREDÝ : 153TOPLAM AKTS : 245 ",, English,,Endüstri Müh. Ders Planý 2009-2010/ Güz ile 2017-2018   / Güz Dönemleri Arasý1. YarýyýlDers KoduDers AdýKrediDersUyg.Lab.AKTSTürüZ/SYarýyýlEND 111Endüstri Mühendisliðine Giriþ11003MTZ1FIZ 101Fizik I33004.5TBZ1FIZ 101LFizik I Lab10021.5TBZ1BIL 101EInt to Comp and Inf Systems1.51012.5TMZ1MAT 261Lineer Cebir33005TBZ1MAT 103Matematik I43206TBZ1RES 107Teknik Resim21203TMZ1English Course I33.5ITBZ12. YarýyýlDers KoduDers AdýKrediDersUyg.Lab.AKTSTürüZ/SYarýyýlFIZ 106Fizik II33004.5TBZ2FIZ 106LFizik II Lab10021TBZ2KIM 101EGeneral Chemistry I33004.5TBZ2KIM 101ELGeneral Chemistry I Lab10021.5TBZ2END 112EIntr. to Manufacturing Systems33005TMZ2MAT 104Matematik II43206.5TBZ2END 122ESel. Topics Ind. Eng. & Ethics22004.5MTZ2English Course II33.5/4ITBZ23. YarýyýlDers KoduDers AdýKrediDersUyg.Lab.AKTSTürüZ/SYarýyýlEND 213EData Manag.in Industrial Syst.33006TMZ3MAT 201EDifferential Equations44005.5TBZ3EKO 201Ekonomi33004ITBZ3HUK 201Ýþ Hukuku33004ITBZ3END 211Sistem Düþüncesi ve  Analizi33005TMZ3TUR 101Türk Dili I22002ITBZ3BIL 104EIntr. to Programming in C32024.5TMZ34. YarýyýlDers KoduDers AdýKrediDersUyg.Lab.AKTSTürüZ/SYarýyýlING 201English III33003.5ITBZ4END 222Yönetim Muhasebesi33004ITBZ4MEK 205Mühendislik Mekaniði33004.5TMZ4END 242Takým Tezgahlarý33005TMZ4END 252ETheory of Probability33007TBZ4TUR 102Türk Dili II22002ITBZ4END 232Ýþbilim33005MTZ45. YarýyýlDers KoduDers AdýKrediDersUyg.Lab.AKTSTürüZ/SYarýyýlEND 331Yöneylem Araþtýrmasý I33007TMZ5END 311Ýstatistik33005TBZ5END 321Ýþ Etüdü3.53015MTZ5Seçmeli Dal Dersi-Güz (MT)34/6MTS5Seçmeli Dal Dersi-Güz (MT)34/6MTS5Seçime Baðlý Ders-Güz (ITB)34ITBS56. YarýyýlDers KoduDers AdýKrediDersUyg.Lab.AKTSTürüZ/SYarýyýlEND 312Mühendislik Ekonomisi33005MTZ6END 332EOperations Research II33007TMZ6END 322Sistem Simülasyonu33007TBZ6Seçmeli Dal Dersi-Bahar (MT)34MTS6Seçmeli Dal Dersi-Bahar (ITB)34ITBS6Seçime Baðlý Ders-Bahar (ITB)34ITBS67. YarýyýlDers KoduDers AdýKrediDersUyg.Lab.AKTSTürüZ/SYarýyýlATA 101Atatürk Ýlk & Ýnkýlap Trh I22002ITBZ7END 411Bütünleþik Üretim Sistemleri22007MTZ7END 441Endüstri Mühendisliði Projesi10024MTZ7END 431Yönetim ve Organizasyon33004ITBZ7END 421Üretim Planlama ve Kontrol33006MTZ7Elective Branch Crse-Fall(ITB)34ITBS7Seçime Baðlý Dal Dersi-Güz(MT)34/6MTS78. YarýyýlDers KoduDers AdýKrediDersUyg.Lab.AKTSTürüZ/SYarýyýlATA 102Atatürk Ýlk & Ýnkýlap Trh II22002ITBZ8END 492Bitirme Çalýþmasý30608MTZ8END 432EFacility Layout33004MTZ8END 422Kalite Kontrol33004MTZ8END 444EMaterials Management33004MTZ8END 412Ýnsn Kynklarý Yntmnin Temeller33004ITBZ8END 449END 449EEnd. Müh. Uyg. Seminer Dersi03002MTZ8Seçmeli Dal Dersi-Bahar (MT)34/4.5/5/5.5MTS8TOPLAM KREDÝ : 153TOPLAM AKTS : 245 ,Ders Kodu,Ders Adý,Kredi,Ders,Uyg.,Lab.,AKTS,Türü,Z/S,Yarýyýl,END 111,Endüstri Mühendisliðine Giriþ,1,1,0,0,3,MT,Z,1,FIZ 101,Fizik I,3,3,0,0,4.5,TB,Z,1,FIZ 101L,Fizik I Lab,1,0,0,2,1.5,TB,Z,1,BIL 101E,Int to Comp and Inf Systems,1.5,1,0,1,2.5,TM,Z,1,MAT 261,Lineer Cebir,3,3,0,0,5,TB,Z,1,MAT 103,Matematik I,4,3,2,0,6,TB,Z,1,RES 107,Teknik Resim,2,1,2,0,3,TM,Z,1,,English Course I,3,,,,3.5,ITB,Z,1,Ders Kodu,Ders Adý,Kredi,Ders,Uyg.,Lab.,AKTS,Türü,Z/S,Yarýyýl,FIZ 106,Fizik II,3,3,0,0,4.5,TB,Z,2,FIZ 106L,Fizik II Lab,1,0,0,2,1,TB,Z,2,KIM 101E,General Chemistry I,3,3,0,0,4.5,TB,Z,2,KIM 101EL,General Chemistry I Lab,1,0,0,2,1.5,TB,Z,2,END 112E,Intr. to Manufacturing Systems,3,3,0,0,5,TM,Z,2,MAT 104,Matematik II,4,3,2,0,6.5,TB,Z,2,END 122E,Sel. Topics Ind. Eng. & Ethics,2,2,0,0,4.5,MT,Z,2,,English Course II,3,,,,3.5/4,ITB,Z,2,Ders Kodu,Ders Adý,Kredi,Ders,Uyg.,Lab.,AKTS,Türü,Z/S,Yarýyýl,END 213E,Data Manag.in Industrial Syst.,3,3,0,0,6,TM,Z,3,MAT 201E,Differential Equations,4,4,0,0,5.5,TB,Z,3,EKO 201,Ekonomi,3,3,0,0,4,ITB,Z,3,HUK 201,Ýþ Hukuku,3,3,0,0,4,ITB,Z,3,END 211,Sistem Düþüncesi ve  Analizi,3,3,0,0,5,TM,Z,3,TUR 101,Türk Dili I,2,2,0,0,2,ITB,Z,3,BIL 104E,Intr. to Programming in C,3,2,0,2,4.5,TM,Z,3,Ders Kodu,Ders Adý,Kredi,Ders,Uyg.,Lab.,AKTS,Türü,Z/S,Yarýyýl,ING 201,English III,3,3,0,0,3.5,ITB,Z,4,END 222,Yönetim Muhasebesi,3,3,0,0,4,ITB,Z,4,MEK 205,Mühendislik Mekaniði,3,3,0,0,4.5,TM,Z,4,END 242,Takým Tezgahlarý,3,3,0,0,5,TM,Z,4,END 252E,Theory of Probability,3,3,0,0,7,TB,Z,4,TUR 102,Türk Dili II,2,2,0,0,2,ITB,Z,4,END 232,Ýþbilim,3,3,0,0,5,MT,Z,4,Ders Kodu,Ders Adý,Kredi,Ders,Uyg.,Lab.,AKTS,Türü,Z/S,Yarýyýl,END 331,Yöneylem Araþtýrmasý I,3,3,0,0,7,TM,Z,5,END 311,Ýstatistik,3,3,0,0,5,TB,Z,5,END 321,Ýþ Etüdü,3.5,3,0,1,5,MT,Z,5,,Seçmeli Dal Dersi-Güz (MT),3,,,,4/6,MT,S,5,,Seçmeli Dal Dersi-Güz (MT),3,,,,4/6,MT,S,5,,Seçime Baðlý Ders-Güz (ITB),3,,,,4,ITB,S,5,Ders Kodu,Ders Adý,Kredi,Ders,Uyg.,Lab.,AKTS,Türü,Z/S,Yarýyýl,END 312,Mühendislik Ekonomisi,3,3,0,0,5,MT,Z,6,END 332E,Operations Research II,3,3,0,0,7,TM,Z,6,END 322,Sistem Simülasyonu,3,3,0,0,7,TB,Z,6,,Seçmeli Dal Dersi-Bahar (MT),3,,,,4,MT,S,6,,Seçmeli Dal Dersi-Bahar (ITB),3,,,,4,ITB,S,6,,Seçime Baðlý Ders-Bahar (ITB),3,,,,4,ITB,S,6,Ders Kodu,Ders Adý,Kredi,Ders,Uyg.,Lab.,AKTS,Türü,Z/S,Yarýyýl,ATA 101,Atatürk Ýlk & Ýnkýlap Trh I,2,2,0,0,2,ITB,Z,7,END 411,Bütünleþik Üretim Sistemleri,2,2,0,0,7,MT,Z,7,END 441,Endüstri Mühendisliði Projesi,1,0,0,2,4,MT,Z,7,END 431,Yönetim ve Organizasyon,3,3,0,0,4,ITB,Z,7,END 421,Üretim Planlama ve Kontrol,3,3,0,0,6,MT,Z,7,,Elective Branch Crse-Fall(ITB),3,,,,4,ITB,S,7,,Seçime Baðlý Dal Dersi-Güz(MT),3,,,,4/6,MT,S,7,Ders Kodu,Ders Adý,Kredi,Ders,Uyg.,Lab.,AKTS,Türü,Z/S,Yarýyýl,ATA 102,Atatürk Ýlk & Ýnkýlap Trh II,2,2,0,0,2,ITB,Z,8,END 492,Bitirme Çalýþmasý,3,0,6,0,8,MT,Z,8,END 432E,Facility Layout,3,3,0,0,4,MT,Z,8,END 422,Kalite Kontrol,3,3,0,0,4,MT,Z,8,END 444E,Materials Management,3,3,0,0,4,MT,Z,8,END 412,Ýnsn Kynklarý Yntmnin Temeller,3,3,0,0,4,ITB,Z,8,END 449END 449E,End. Müh. Uyg. Seminer Dersi,0,3,0,0,2,MT,Z,8,,Seçmeli Dal Dersi-Bahar (MT),3,,,,4/4.5/5/5.5,MT,S,8,
Ders Kodu,Ders Adý,Kredi,Ders,Uyg.,Lab.,AKTS,Türü,Z/S,Yarýyýl
ATA 101,Atatürk Ýlk & Ýnkýlap Trh I,2,2,0,0,2,ITB,Z,7
END 411,Bütünleþik Üretim Sistemleri,2,2,0,0,7,MT,Z,7
END 441,Endüstri Mühendisliði Projesi,1,0,0,2,4,MT,Z,7
END 431,Yönetim ve Organizasyon,3,3,0,0,4,ITB,Z,7
END 421,Üretim Planlama ve Kontrol,3,3,0,0,6,MT,Z,7
,Elective Branch Crse-Fall(ITB),3,,,,4,ITB,S,7
,Seçime Baðlý Dal Dersi-Güz(MT),3,,,,4/6,MT,S,7
Ders Kodu,Ders Adý,Kredi,Ders,Uyg.,Lab.,AKTS,Türü,Z/S,Yarýyýl
ATA 102,Atatürk Ýlk & Ýnkýlap Trh II,2,2,0,0,2,ITB,Z,8
END 492,Bitirme Çalýþmasý,3,0,6,0,8,MT,Z,8
END 432E,Facility Layout,3,3,0,0,4,MT,Z,8
END 422,Kalite Kontrol,3,3,0,0,4,MT,Z,8
END 444E,Materials Management,3,3,0,0,4,MT,Z,8
END 412,Ýnsn Kynklarý Yntmnin Temeller,3,3,0,0,4,ITB,Z,8
END 449END 449E,End. Müh. Uyg. Seminer Dersi,0,3,0,0,2,MT,Z,8
,Seçmeli Dal Dersi-Bahar (MT),3,,,,4/4.5/5/5.5,MT,S,8
""
,Endüstri Müh. Ders Planý 2009-2010/ Güz ile 2017-2018   / Güz Dönemleri Arasý1. YarýyýlDers KoduDers AdýKrediDersUyg.Lab.AKTSTürüZ/SYarýyýlEND 111Endüstri Mühendisliðine Giriþ11003MTZ1FIZ 101Fizik I33004.5TBZ1FIZ 101LFizik I Lab10021.5TBZ1BIL 101EInt to Comp and Inf Systems1.51012.5TMZ1MAT 261Lineer Cebir33005TBZ1MAT 103Matematik I43206TBZ1RES 107Teknik Resim21203TMZ1English Course I33.5ITBZ12. YarýyýlDers KoduDers AdýKrediDersUyg.Lab.AKTSTürüZ/SYarýyýlFIZ 106Fizik II33004.5TBZ2FIZ 106LFizik II Lab10021TBZ2KIM 101EGeneral Chemistry I33004.5TBZ2KIM 101ELGeneral Chemistry I Lab10021.5TBZ2END 112EIntr. to Manufacturing Systems33005TMZ2MAT 104Matematik II43206.5TBZ2END 122ESel. Topics Ind. Eng. & Ethics22004.5MTZ2English Course II33.5/4ITBZ23. YarýyýlDers KoduDers AdýKrediDersUyg.Lab.AKTSTürüZ/SYarýyýlEND 213EData Manag.in Industrial Syst.33006TMZ3MAT 201EDifferential Equations44005.5TBZ3EKO 201Ekonomi33004ITBZ3HUK 201Ýþ Hukuku33004ITBZ3END 211Sistem Düþüncesi ve  Analizi33005TMZ3TUR 101Türk Dili I22002ITBZ3BIL 104EIntr. to Programming in C32024.5TMZ34. YarýyýlDers KoduDers AdýKrediDersUyg.Lab.AKTSTürüZ/SYarýyýlING 201English III33003.5ITBZ4END 222Yönetim Muhasebesi33004ITBZ4MEK 205Mühendislik Mekaniði33004.5TMZ4END 242Takým Tezgahlarý33005TMZ4END 252ETheory of Probability33007TBZ4TUR 102Türk Dili II22002ITBZ4END 232Ýþbilim33005MTZ45. YarýyýlDers KoduDers AdýKrediDersUyg.Lab.AKTSTürüZ/SYarýyýlEND 331Yöneylem Araþtýrmasý I33007TMZ5END 311Ýstatistik33005TBZ5END 321Ýþ Etüdü3.53015MTZ5Seçmeli Dal Dersi-Güz (MT)34/6MTS5Seçmeli Dal Dersi-Güz (MT)34/6MTS5Seçime Baðlý Ders-Güz (ITB)34ITBS56. YarýyýlDers KoduDers AdýKrediDersUyg.Lab.AKTSTürüZ/SYarýyýlEND 312Mühendislik Ekonomisi33005MTZ6END 332EOperations Research II33007TMZ6END 322Sistem Simülasyonu33007TBZ6Seçmeli Dal Dersi-Bahar (MT)34MTS6Seçmeli Dal Dersi-Bahar (ITB)34ITBS6Seçime Baðlý Ders-Bahar (ITB)34ITBS67. YarýyýlDers KoduDers AdýKrediDersUyg.Lab.AKTSTürüZ/SYarýyýlATA 101Atatürk Ýlk & Ýnkýlap Trh I22002ITBZ7END 411Bütünleþik Üretim Sistemleri22007MTZ7END 441Endüstri Mühendisliði Projesi10024MTZ7END 431Yönetim ve Organizasyon33004ITBZ7END 421Üretim Planlama ve Kontrol33006MTZ7Elective Branch Crse-Fall(ITB)34ITBS7Seçime Baðlý Dal Dersi-Güz(MT)34/6MTS78. YarýyýlDers KoduDers AdýKrediDersUyg.Lab.AKTSTürüZ/SYarýyýlATA 102Atatürk Ýlk & Ýnkýlap Trh II22002ITBZ8END 492Bitirme Çalýþmasý30608MTZ8END 432EFacility Layout33004MTZ8END 422Kalite Kontrol33004MTZ8END 444EMaterials Management33004MTZ8END 412Ýnsn Kynklarý Yntmnin Temeller33004ITBZ8END 449END 449EEnd. Müh. Uyg. Seminer Dersi03002MTZ8Seçmeli Dal Dersi-Bahar (MT)34/4.5/5/5.5MTS8TOPLAM KREDÝ : 153TOPLAM AKTS : 245 ,Ders Kodu,Ders Adý,Kredi,Ders,Uyg.,Lab.,AKTS,Türü,Z/S,Yarýyýl,END 111,Endüstri Mühendisliðine Giriþ,1,1,0,0,3,MT,Z,1,FIZ 101,Fizik I,3,3,0,0,4.5,TB,Z,1,FIZ 101L,Fizik I Lab,1,0,0,2,1.5,TB,Z,1,BIL 101E,Int to Comp and Inf Systems,1.5,1,0,1,2.5,TM,Z,1,MAT 261,Lineer Cebir,3,3,0,0,5,TB,Z,1,MAT 103,Matematik I,4,3,2,0,6,TB,Z,1,RES 107,Teknik Resim,2,1,2,0,3,TM,Z,1,,English Course I,3,,,,3.5,ITB,Z,1,Ders Kodu,Ders Adý,Kredi,Ders,Uyg.,Lab.,AKTS,Türü,Z/S,Yarýyýl,FIZ 106,Fizik II,3,3,0,0,4.5,TB,Z,2,FIZ 106L,Fizik II Lab,1,0,0,2,1,TB,Z,2,KIM 101E,General Chemistry I,3,3,0,0,4.5,TB,Z,2,KIM 101EL,General Chemistry I Lab,1,0,0,2,1.5,TB,Z,2,END 112E,Intr. to Manufacturing Systems,3,3,0,0,5,TM,Z,2,MAT 104,Matematik II,4,3,2,0,6.5,TB,Z,2,END 122E,Sel. Topics Ind. Eng. & Ethics,2,2,0,0,4.5,MT,Z,2,,English Course II,3,,,,3.5/4,ITB,Z,2,Ders Kodu,Ders Adý,Kredi,Ders,Uyg.,Lab.,AKTS,Türü,Z/S,Yarýyýl,END 213E,Data Manag.in Industrial Syst.,3,3,0,0,6,TM,Z,3,MAT 201E,Differential Equations,4,4,0,0,5.5,TB,Z,3,EKO 201,Ekonomi,3,3,0,0,4,ITB,Z,3,HUK 201,Ýþ Hukuku,3,3,0,0,4,ITB,Z,3,END 211,Sistem Düþüncesi ve  Analizi,3,3,0,0,5,TM,Z,3,TUR 101,Türk Dili I,2,2,0,0,2,ITB,Z,3,BIL 104E,Intr. to Programming in C,3,2,0,2,4.5,TM,Z,3,Ders Kodu,Ders Adý,Kredi,Ders,Uyg.,Lab.,AKTS,Türü,Z/S,Yarýyýl,ING 201,English III,3,3,0,0,3.5,ITB,Z,4,END 222,Yönetim Muhasebesi,3,3,0,0,4,ITB,Z,4,MEK 205,Mühendislik Mekaniði,3,3,0,0,4.5,TM,Z,4,END 242,Takým Tezgahlarý,3,3,0,0,5,TM,Z,4,END 252E,Theory of Probability,3,3,0,0,7,TB,Z,4,TUR 102,Türk Dili II,2,2,0,0,2,ITB,Z,4,END 232,Ýþbilim,3,3,0,0,5,MT,Z,4,Ders Kodu,Ders Adý,Kredi,Ders,Uyg.,Lab.,AKTS,Türü,Z/S,Yarýyýl,END 331,Yöneylem Araþtýrmasý I,3,3,0,0,7,TM,Z,5,END 311,Ýstatistik,3,3,0,0,5,TB,Z,5,END 321,Ýþ Etüdü,3.5,3,0,1,5,MT,Z,5,,Seçmeli Dal Dersi-Güz (MT),3,,,,4/6,MT,S,5,,Seçmeli Dal Dersi-Güz (MT),3,,,,4/6,MT,S,5,,Seçime Baðlý Ders-Güz (ITB),3,,,,4,ITB,S,5,Ders Kodu,Ders Adý,Kredi,Ders,Uyg.,Lab.,AKTS,Türü,Z/S,Yarýyýl,END 312,Mühendislik Ekonomisi,3,3,0,0,5,MT,Z,6,END 332E,Operations Research II,3,3,0,0,7,TM,Z,6,END 322,Sistem Simülasyonu,3,3,0,0,7,TB,Z,6,,Seçmeli Dal Dersi-Bahar (MT),3,,,,4,MT,S,6,,Seçmeli Dal Dersi-Bahar (ITB),3,,,,4,ITB,S,6,,Seçime Baðlý Ders-Bahar (ITB),3,,,,4,ITB,S,6,Ders Kodu,Ders Adý,Kredi,Ders,Uyg.,Lab.,AKTS,Türü,Z/S,Yarýyýl,ATA 101,Atatürk Ýlk & Ýnkýlap Trh I,2,2,0,0,2,ITB,Z,7,END 411,Bütünleþik Üretim Sistemleri,2,2,0,0,7,MT,Z,7,END 441,Endüstri Mühendisliði Projesi,1,0,0,2,4,MT,Z,7,END 431,Yönetim ve Organizasyon,3,3,0,0,4,ITB,Z,7,END 421,Üretim Planlama ve Kontrol,3,3,0,0,6,MT,Z,7,,Elective Branch Crse-Fall(ITB),3,,,,4,ITB,S,7,,Seçime Baðlý Dal Dersi-Güz(MT),3,,,,4/6,MT,S,7,Ders Kodu,Ders Adý,Kredi,Ders,Uyg.,Lab.,AKTS,Türü,Z/S,Yarýyýl,ATA 102,Atatürk Ýlk & Ýnkýlap Trh II,2,2,0,0,2,ITB,Z,8,END 492,Bitirme Çalýþmasý,3,0,6,0,8,MT,Z,8,END 432E,Facility Layout,3,3,0,0,4,MT,Z,8,END 422,Kalite Kontrol,3,3,0,0,4,MT,Z,8,END 444E,Materials Management,3,3,0,0,4,MT,Z,8,END 412,Ýnsn Kynklarý Yntmnin Temeller,3,3,0,0,4,ITB,Z,8,END 449END 449E,End. Müh. Uyg. Seminer Dersi,0,3,0,0,2,MT,Z,8,,Seçmeli Dal Dersi-Bahar (MT),3,,,,4/4.5/5/5.5,MT,S,8,
Ders Kodu,Ders Adý,Kredi,Ders,Uyg.,Lab.,AKTS,Türü,Z/S,Yarýyýl
END 111,Endüstri Mühendisliðine Giriþ,1,1,0,0,3,MT,Z,1
FIZ 101,Fizik I,3,3,0,0,4.5,TB,Z,1
FIZ 101L,Fizik I Lab,1,0,0,2,1.5,TB,Z,1
BIL 101E,Int to Comp and Inf Systems,1.5,1,0,1,2.5,TM,Z,1
MAT 261,Lineer Cebir,3,3,0,0,5,TB,Z,1
MAT 103,Matematik I,4,3,2,0,6,TB,Z,1
RES 107,Teknik Resim,2,1,2,0,3,TM,Z,1
,English Course I,3,,,,3.5,ITB,Z,1
Ders Kodu,Ders Adý,Kredi,Ders,Uyg.,Lab.,AKTS,Türü,Z/S,Yarýyýl
FIZ 106,Fizik II,3,3,0,0,4.5,TB,Z,2
FIZ 106L,Fizik II Lab,1,0,0,2,1,TB,Z,2
KIM 101E,General Chemistry I,3,3,0,0,4.5,TB,Z,2
KIM 101EL,General Chemistry I Lab,1,0,0,2,1.5,TB,Z,2
END 112E,Intr. to Manufacturing Systems,3,3,0,0,5,TM,Z,2
MAT 104,Matematik II,4,3,2,0,6.5,TB,Z,2
END 122E,Sel. Topics Ind. Eng. & Ethics,2,2,0,0,4.5,MT,Z,2
,English Course II,3,,,,3.5/4,ITB,Z,2
Ders Kodu,Ders Adý,Kredi,Ders,Uyg.,Lab.,AKTS,Türü,Z/S,Yarýyýl
END 213E,Data Manag.in Industrial Syst.,3,3,0,0,6,TM,Z,3
MAT 201E,Differential Equations,4,4,0,0,5.5,TB,Z,3
EKO 201,Ekonomi,3,3,0,0,4,ITB,Z,3
HUK 201,Ýþ Hukuku,3,3,0,0,4,ITB,Z,3
END 211,Sistem Düþüncesi ve  Analizi,3,3,0,0,5,TM,Z,3
TUR 101,Türk Dili I,2,2,0,0,2,ITB,Z,3
BIL 104E,Intr. to Programming in C,3,2,0,2,4.5,TM,Z,3
Ders Kodu,Ders Adý,Kredi,Ders,Uyg.,Lab.,AKTS,Türü,Z/S,Yarýyýl
ING 201,English III,3,3,0,0,3.5,ITB,Z,4
END 222,Yönetim Muhasebesi,3,3,0,0,4,ITB,Z,4
MEK 205,Mühendislik Mekaniði,3,3,0,0,4.5,TM,Z,4
END 242,Takým Tezgahlarý,3,3,0,0,5,TM,Z,4
END 252E,Theory of Probability,3,3,0,0,7,TB,Z,4
TUR 102,Türk Dili II,2,2,0,0,2,ITB,Z,4
END 232,Ýþbilim,3,3,0,0,5,MT,Z,4
Ders Kodu,Ders Adý,Kredi,Ders,Uyg.,Lab.,AKTS,Türü,Z/S,Yarýyýl
END 331,Yöneylem Araþtýrmasý I,3,3,0,0,7,TM,Z,5
END 311,Ýstatistik,3,3,0,0,5,TB,Z,5
END 321,Ýþ Etüdü,3.5,3,0,1,5,MT,Z,5
,Seçmeli Dal Dersi-Güz (MT),3,,,,4/6,MT,S,5
,Seçmeli Dal Dersi-Güz (MT),3,,,,4/6,MT,S,5
,Seçime Baðlý Ders-Güz (ITB),3,,,,4,ITB,S,5
Ders Kodu,Ders Adý,Kredi,Ders,Uyg.,Lab.,AKTS,Türü,Z/S,Yarýyýl
END 312,Mühendislik Ekonomisi,3,3,0,0,5,MT,Z,6
END 332E,Operations Research II,3,3,0,0,7,TM,Z,6
END 322,Sistem Simülasyonu,3,3,0,0,7,TB,Z,6
,Seçmeli Dal Dersi-Bahar (MT),3,,,,4,MT,S,6
,Seçmeli Dal Dersi-Bahar (ITB),3,,,,4,ITB,S,6
,Seçime Baðlý Ders-Bahar (ITB),3,,,,4,ITB,S,6
Ders Kodu,Ders Adý,Kredi,Ders,Uyg.,Lab.,AKTS,Türü,Z/S,Yarýyýl
ATA 101,Atatürk Ýlk & Ýnkýlap Trh I,2,2,0,0,2,ITB,Z,7
END 411,Bütünleþik Üretim Sistemleri,2,2,0,0,7,MT,Z,7
END 441,Endüstri Mühendisliði Projesi,1,0,0,2,4,MT,Z,7
END 431,Yönetim ve Organizasyon,3,3,0,0,4,ITB,Z,7
END 421,Üretim Planlama ve Kontrol,3,3,0,0,6,MT,Z,7
,Elective Branch Crse-Fall(ITB),3,,,,4,ITB,S,7
,Seçime Baðlý Dal Dersi-Güz(MT),3,,,,4/6,MT,S,7
Ders Kodu,Ders Adý,Kredi,Ders,Uyg.,Lab.,AKTS,Türü,Z/S,Yarýyýl
ATA 102,Atatürk Ýlk & Ýnkýlap Trh II,2,2,0,0,2,ITB,Z,8
END 492,Bitirme Çalýþmasý,3,0,6,0,8,MT,Z,8
END 432E,Facility Layout,3,3,0,0,4,MT,Z,8
END 422,Kalite Kontrol,3,3,0,0,4,MT,Z,8
END 444E,Materials Management,3,3,0,0,4,MT,Z,8
END 412,Ýnsn Kynklarý Yntmnin Temeller,3,3,0,0,4,ITB,Z,8
END 449END 449E,End. Müh. Uyg. Seminer Dersi,0,3,0,0,2,MT,Z,8
,Seçmeli Dal Dersi-Bahar (MT),3,,,,4/4.5/5/5.5,MT,S,8
Ders Kodu,Ders Adý,Kredi,Ders,Uyg.,Lab.,AKTS,Türü,Z/S,Yarýyýl
END 111,Endüstri Mühendisliðine Giriþ,1,1,0,0,3,MT,Z,1
FIZ 101,Fizik I,3,3,0,0,4.5,TB,Z,1
FIZ 101L,Fizik I Lab,1,0,0,2,1.5,TB,Z,1
BIL 101E,Int to Comp and Inf Systems,1.5,1,0,1,2.5,TM,Z,1
MAT 261,Lineer Cebir,3,3,0,0,5,TB,Z,1
